Escambia,FL,30.45,32.4,70654,16345,20.3,12.48,51.36,407.2,741
Flagler,FL,40.92,46.4,104754,14689,10.9,5.84,51.97,69.3,372
Franklin,FL,35.05,38.9,51274,13963,21.1,10.57,50.57,17.2,242
Gadsden,FL,58.96,31.8,45618,13185,29.2,8.77,52.39,81.8,511
Gilchrist,FL,37.62,33.5,46294,12536,17.8,7.89,47.07,29.8,139
Gulf,FL,33.11,35.7,36246,13797,19.3,10.08,50.13,20.7,214
Hamilton,FL,43.54,30.9,14973,12066,24.3,7.3,47.1,21.8,19
Hardee,FL,31.37,32.8,96343,15621,27,10.27,49.21,31.5,556
Hendry,FL,33.57,30.3,59821,17157,22.9,7.19,49.32,24,465
Hernando,FL,39.06,49.5,89897,14930,13.9,6.84,51.91,229.6,476
Highlands,FL,34.69,51.5,93767,16275,16.9,9.71,52.41,69.2,639
Hillsborough,FL,37.13,33,86182,18401,17,10.43,51.13,814.9,1043
Holmes,FL,28.75,35.6,46441,11892,24.6,10.56,49.23,33.8,120
Indian River,FL,28.12,44,138696,26637,11.5,9.58,51.62,186.2,585
Jackson,FL,37.35,34.3,62200,14271,20.9,10.58,48.92,46.4,217
Jefferson,FL,48.55,33.8,56216,14175,22.9,8.81,49.53,19.6,492
Lake,FL,33.24,44.7,101453,17326,14.1,9.62,51.96,170.3,452
Lee,FL,32.32,42,102447,20349,12.3,9.07,51.76,439.4,626
Leon,FL,49.12,28.8,75763,17976,14.9,8.78,51.75,303.8,1206
Levy,FL,39.59,38.5,66825,12847,19.2,10.24,52.15,24.2,445
Madison,FL,45.36,32.3,47323,12325,23.8,8.56,48.53,24.1,311
Manatee,FL,33.77,43.1,89672,20904,12.9,10.08,52.55,295.3,848
Marion,FL,35.44,40,68657,15633,18.4,8.8,51.76,131.5,663
Martin,FL,27.83,44.5,120549,29881,10.8,9.85,50.77,188.8,556
Monroe,FL,36.3,38.8,111797,22453,11.5,14.45,47.35,80.1,957
Nassau,FL,30.28,33.4,42532,19059,11.9,9.98,50.49,72,425
Okaloosa,FL,19.49,31.5,71158,17767,11.2,10.71,49.8,163.4,371
Okeechobee,FL,36.48,34.3,68035,13683,21.8,8.59,48.75,39.3,482
Orange,FL,34.89,31.5,79270,18920,14.7,9.56,50.3,785,887
Osceola,FL,33.16,33.7,56749,15266,14,6.01,50.97,90.1,801
Palm Beach,FL,46.36,39.9,89950,31407,12.3,9.19,51.78,460.4,901
Pasco,FL,39.08,48,90991,15427,14.6,11.1,52.49,385.5,447
Pinellas,FL,37.96,42.1,109640,21721,12.8,13.79,53.24,3081.4,734
Polk,FL,35.26,36.5,76139,16280,17.9,10.13,51.5,223.5,892
Putnam,FL,41.73,37.3,42137,13281,24.3,11.42,51.14,92.5,848
St. Johns,FL,30.74,37,81562,23965,11.8,8.73,51.5,148.3,683
St. Lucie,FL,34.99,37.9,67471,15425,15.9,7.84,50.93,281.7,643
Santa Rosa,FL,20,32.5,57891,16150,12.6,8.93,50.18,88.7,393
Sarasota,FL,34.89,49,138285,27785,9.9,11.19,53.17,498.6,692
Seminole,FL,30.33,33.3,55465,19694,9.9,9.26,51.11,1004.2,592
Sumter,FL,40.77,40.1,34141,13285,21.7,10.86,49.65,59.4,407
Suwannee,FL,35.06,36.5,53874,13975,19.3,9.37,51.67,41,318
Taylor,FL,35.6,33.5,37261,13963,20.6,11.87,51.33,16.6,354
Volusia,FL,41.94,39.4,102898,16388,15.4,10.56,51.62,352.3,608
Wakulla,FL,34.55,34.2,40833,14183,15.4,9.95,50.84,25.4,227
Walton,FL,28.69,37.8,32464,13562,18.7,11.21,49.69,27.9,212
Washington,FL,32.32,37.3,24995,12870,21.2,10.27,51.69,30,94
Appling,GA,40.73,32.3,42773,12725,21.2,7.93,51.76,31.4,200
Bacon,GA,42.67,31.7,87193,13056,24.2,8.18,52.54,34.4,204
Baldwin,GA,49.31,31.9,88596,16195,19.1,9.44,48.41,156.3,409
Barrow,GA,39.98,31.1,67746,14985,15.2,7,51.06,197.9,385
Bartow,GA,39.29,31.5,57532,15193,13,7.52,50.67,129.2,286
Ben Hill,GA,52.6,32.4,119063,14482,23.7,8.99,54.16,65.9,536
Berrien,GA,46.29,32.9,67781,14452,19.9,9.08,51.24,31.8,254
Bibb,GA,51.93,32.6,76630,18657,23.5,11.68,53.44,608.8,867
Bleckley,GA,43.23,32.6,82649,15466,17.4,9.75,51.84,48.8,141
Brooks,GA,43.92,32.1,41679,13093,29.8,8.54,52.83,31.2,326
Bulloch,GA,38.78,26.1,85664,13214,22.4,7.09,51.42,66.5,392
Burke,GA,53.17,29.6,60470,12699,29.2,7.07,52.69,25.3,324
Butts,GA,50.46,32.4,66241,14173,18.7,9.05,47.2,84.1,276
Calhoun,GA,64.47,33.5,113227,15112,29.2,8.41,54.79,17.5,253
Camden,GA,38.99,27.2,27287,12197,11.2,4.24,45.91,59.7,289
Candler,GA,43.27,34.6,103484,15555,25.5,9.65,52.5,32.4,54
Carroll,GA,37.21,30.4,62832,14798,16,7.53,51.52,148,461
Catoosa,GA,32.7,33.9,37852,13415,12.6,11.54,51.63,273.1,308
Charlton,GA,38.97,30.4,66347,11564,21.3,8.39,51.51,11.3,66
Chatham,GA,43.75,32.2,87632,19023,20,10.59,52.28,504.1,816
Chattooga,GA,46.47,34.8,54196,14066,15,11.33,52.03,71.4,157
Cherokee,GA,27.77,31.1,52897,17175,7.5,5.84,49.67,240.7,223
Clarke,GA,53.12,25.6,100548,16223,22.3,7.66,52.24,731,1007
Clay,GA,65,34.2,39635,12350,35.4,7.41,54.93,17.4,206
Clayton,GA,44.65,29.9,43964,16855,14,11.25,51.22,1318.4,804
Clinch,GA,41.32,31.6,57082,12584,25,8.19,51.61,7.7,226
Cobb,GA,32.45,31.7,84137,23195,8.2,8.94,50.77,1402.1,564
Coffee,GA,39.27,30.5,95719,15271,23.1,7.59,51.88,51.2,777
Colquitt,GA,37.86,32.6,78057,14892,25.8,9.96,51.44,67,638
Columbia,GA,25.23,31.2,30540,17165,7.7,7.2,50.04,251,315
Cook,GA,48.02,32.4,57653,12865,22.5,9.7,51.98,58.9,482
Coweta,GA,34.51,32,59670,17069,12.6,7.97,51.68,136.3,347
Crawford,GA,51.78,31.7,26096,12882,16.7,8.13,50.55,28.3,180
Crisp,GA,45.72,32.8,62798,14794,30.4,8.35,54.08,74.1,138
Dade,GA,37.09,32.7,53856,12299,16.3,10.2,51.14,76.5,180
Decatur,GA,43.11,31.7,56397,14744,26.9,9.71,52.35,43.4,497
De Kalb,GA,57.82,31.9,63404,22075,16.3,11.34,51.8,2094.7,1061
Dodge,GA,47.82,33.8,83682,13028,23.2,8.51,50.9,35.4,366
Dooly,GA,58.84,32.8,78470,14815,29,7.85,54.52,25.4,164
